wallclock_iso,t_ms,fsr1,fsr2,emg,ax,ay,az,gx,gy,gz,mode
,511511,74,0,1900,0.142,0.231,1.006,44.69,18.92,29.84,R
,511521,69,0,1833,0.131,0.223,0.984,38.27,13.77,29.81,R
,511531,66,0,1834,0.148,0.221,0.989,35.53,9.33,29.24,R
,511541,65,0,1766,0.142,0.222,1.007,34.20,7.50,29.15,R
,511551,66,0,1863,0.146,0.226,0.992,35.56,7.07,29.11,R
,511561,64,0,1729,0.158,0.219,0.979,35.82,7.13,28.82,R
,511571,64,0,1872,0.166,0.227,0.968,36.27,8.21,28.94,R
,511581,66,0,1752,0.172,0.217,0.956,36.20,11.68,28.86,R
,511591,66,0,1762,0.173,0.215,0.950,36.45,15.95,29.31,R
,511601,65,0,1799,0.188,0.211,0.963,36.33,19.89,29.37,R
,511611,64,0,1798,0.195,0.196,0.955,34.83,23.28,29.90,R
,511621,64,0,1767,0.188,0.196,0.969,33.38,23.73,30.85,R
,511631,64,0,1803,0.194,0.191,0.975,33.14,23.27,31.40,R
,511641,66,0,1713,0.201,0.191,0.980,32.22,21.01,30.97,R
,511651,64,0,1903,0.202,0.187,0.978,32.25,20.06,30.37,R
,511661,65,0,1838,0.204,0.185,0.966,32.66,20.14,29.58,R
,511671,64,0,1803,0.205,0.188,0.957,31.14,21.31,29.73,R
,511681,64,0,1755,0.202,0.197,0.953,29.91,22.26,30.13,R
,511691,67,0,1947,0.199,0.203,0.963,28.69,23.50,30.62,R
,511701,64,0,1777,0.197,0.204,0.960,28.53,26.20,30.18,R
,511711,64,0,1859,0.201,0.206,0.951,28.37,28.27,28.65,R
,511721,66,0,1807,0.205,0.208,0.952,27.03,29.62,27.64,R
,511731,65,0,1795,0.196,0.213,0.950,24.94,28.84,26.68,R
,511741,64,0,1771,0.195,0.215,0.954,23.49,29.39,26.65,R
,511751,64,0,1871,0.187,0.223,0.961,22.68,31.22,26.85,R
,511761,64,0,1972,0.187,0.222,0.950,22.51,33.27,27.11,R
,511771,66,0,1741,0.185,0.208,0.929,17.44,34.08,28.05,R
,511781,64,0,1794,0.179,0.209,0.956,10.33,32.95,29.47,R
,511791,65,0,1795,0.191,0.201,0.990,10.97,30.46,29.46,R
,511801,65,0,1815,0.204,0.185,1.000,14.77,27.28,28.28,R
,511811,77,0,1903,0.202,0.184,0.988,18.13,27.45,26.86,R
,511821,62,0,2012,0.187,0.193,0.983,20.60,29.59,27.06,R
,511831,65,0,1819,0.174,0.198,0.975,22.04,32.52,28.08,R
,511841,64,0,1778,0.157,0.201,0.980,21.50,33.79,30.04,R
,511851,67,0,1815,0.161,0.204,1.000,22.19,32.08,30.88,R
,511861,65,0,1860,0.171,0.208,1.000,22.71,30.03,30.24,R
,511871,65,0,1898,0.175,0.202,1.004,21.99,28.98,29.35,R
,511881,64,0,2057,0.169,0.194,1.005,21.09,29.51,28.69,R
,511891,64,0,1865,0.167,0.193,1.007,20.46,30.43,27.87,R
,511901,64,0,1926,0.159,0.190,0.994,19.81,31.24,27.73,R
,511911,64,0,1728,0.161,0.189,1.000,17.90,31.34,27.89,R
,511921,65,0,1859,0.176,0.180,1.014,16.88,29.94,27.56,R
,511931,64,0,1840,0.172,0.176,1.023,17.38,27.73,26.97,R
,511941,64,0,1916,0.174,0.173,1.025,19.29,25.45,26.07,R
,511951,65,0,1734,0.179,0.171,1.012,22.17,23.88,25.43,R
,511961,62,0,1793,0.182,0.171,1.010,25.44,23.63,24.24,R
,511971,64,0,1851,0.184,0.173,1.005,26.34,23.59,23.52,R
,511981,64,0,1887,0.183,0.175,0.993,23.64,24.50,23.61,R
,511991,64,0,1859,0.169,0.182,0.993,22.42,25.83,24.22,R
,512001,65,0,1840,0.165,0.186,0.991,22.89,26.47,24.82,R
,512011,64,0,2075,0.172,0.185,0.986,23.43,27.24,24.86,R
,512021,61,0,1811,0.172,0.190,0.978,23.21,29.59,24.92,R
,512031,57,0,1882,0.163,0.193,0.977,21.85,31.50,24.62,R
,512041,67,0,1872,0.165,0.194,0.969,20.08,32.67,24.62,R
,512051,64,0,1915,0.155,0.195,0.957,16.89,33.98,25.76,R
,512061,64,0,1815,0.147,0.193,0.936,12.91,35.01,27.72,R
,512071,66,0,1926,0.158,0.188,0.948,8.82,35.21,28.76,R
,512081,65,0,1971,0.156,0.183,0.952,5.07,38.11,29.23,R
,512091,66,0,1776,0.147,0.173,1.005,6.85,37.60,28.36,R
,512101,65,0,1845,0.147,0.171,1.024,11.98,38.46,28.30,R
,512111,64,0,1854,0.139,0.170,1.030,18.31,37.54,29.15,R
,512121,65,0,1903,0.138,0.166,1.035,23.99,35.13,29.52,R
,512131,90,0,1834,0.143,0.177,1.028,27.95,32.72,28.95,R
,512141,65,0,1883,0.148,0.186,1.025,28.88,30.26,27.69,R
,512151,66,0,1893,0.148,0.189,1.017,27.56,27.01,26.71,R
,512161,65,0,1858,0.143,0.191,1.015,24.25,24.23,25.75,R
,512171,65,0,1808,0.136,0.185,1.014,21.75,21.36,25.44,R
,512181,64,0,1836,0.137,0.177,1.010,20.17,20.47,25.49,R
,512191,64,0,1835,0.137,0.164,1.008,16.34,21.39,26.01,R
,512201,64,0,1793,0.140,0.156,1.019,15.58,24.21,26.97,R
,512211,65,0,1808,0.142,0.153,1.014,17.38,25.39,27.63,R
,512221,62,0,1793,0.150,0.145,1.020,19.17,27.95,28.21,R
,512231,64,0,1776,0.152,0.145,1.008,21.50,30.41,28.82,R
,512241,66,0,1908,0.152,0.154,1.004,23.17,31.07,28.92,R
,512251,62,0,1831,0.117,0.133,0.958,22.33,25.28,30.98,R
,512261,65,0,1771,0.131,0.156,0.965,22.86,33.34,27.79,R
,512271,71,0,1759,0.138,0.164,0.990,21.78,30.60,27.69,R
,512281,64,0,1783,0.145,0.161,1.013,21.29,29.08,27.47,R
,512291,65,0,1776,0.143,0.163,1.006,22.05,26.73,27.40,R
,512301,66,0,1841,0.148,0.163,1.010,23.07,25.45,26.65,R
,512311,68,0,1842,0.149,0.164,0.992,23.03,25.36,25.50,R
,512321,64,0,1873,0.147,0.170,0.994,21.95,25.54,24.85,R
,512331,64,0,1841,0.144,0.173,0.980,20.85,26.52,24.94,R
,512341,65,0,1910,0.139,0.168,0.972,18.20,27.37,25.70,R
,512351,64,0,1783,0.126,0.166,0.978,17.49,28.60,26.57,R
,512361,67,0,1846,0.128,0.168,1.002,17.24,29.37,27.55,R
,512371,77,0,1839,0.131,0.163,0.996,17.81,30.98,27.79,R
,512381,62,0,1979,0.124,0.168,0.997,19.04,32.43,28.04,R
,512391,69,0,1834,0.124,0.162,1.004,19.12,32.95,28.53,R
,512401,59,0,1872,0.125,0.155,1.017,20.34,31.91,28.63,R
,512411,65,0,1866,0.130,0.153,1.023,21.95,30.21,28.02,R
,512421,64,0,1857,0.128,0.150,1.011,22.20,28.11,27.02,R
,512431,63,0,1847,0.127,0.153,1.029,21.73,27.59,26.54,R
,512441,65,0,1821,0.128,0.156,1.026,21.76,26.56,25.52,R
,512451,67,0,1872,0.122,0.154,1.018,21.55,25.73,25.50,R
,512461,65,0,1729,0.127,0.148,1.014,21.20,24.79,25.61,R
,512471,64,0,1937,0.127,0.153,1.018,21.56,24.81,25.81,R
,512481,65,0,1731,0.123,0.149,1.008,19.98,26.11,26.39,R
,512491,66,0,1722,0.121,0.147,1.009,19.87,28.20,27.40,R
,512501,65,0,1782,0.120,0.145,1.018,21.30,29.63,28.57,R
,512511,64,0,1744,0.123,0.147,1.014,22.48,29.76,29.05,R
,512521,65,0,1783,0.125,0.144,1.006,23.55,30.29,29.43,R
,512531,68,0,1911,0.124,0.147,1.021,24.37,30.90,28.63,R
,512541,68,0,1830,0.122,0.152,1.006,25.24,31.79,27.49,R
,512551,67,0,1737,0.118,0.146,0.974,23.49,31.16,26.79,R
,512561,65,0,1815,0.118,0.149,1.002,21.85,28.52,26.44,R
,512571,65,0,1772,0.117,0.146,1.019,20.57,24.76,25.87,R
,512581,65,0,1839,0.120,0.142,1.008,20.22,22.31,25.52,R
,512591,66,0,1787,0.123,0.142,1.008,20.49,22.34,25.11,R
,512601,64,0,1803,0.118,0.146,1.017,20.92,23.82,25.52,R
,512611,66,0,1814,0.120,0.148,1.010,22.19,25.73,26.79,R
,512621,64,0,1790,0.113,0.153,1.008,24.22,27.91,28.15,R
,512631,65,0,1776,0.112,0.149,1.006,26.04,28.47,28.98,R
,512641,67,0,1936,0.126,0.148,1.011,26.39,29.10,28.80,R
,512651,67,0,1728,0.118,0.152,1.004,26.43,30.14,27.43,R
,512661,66,0,1820,0.113,0.151,1.009,25.18,29.89,26.79,R
,512671,63,0,1873,0.114,0.150,1.006,24.48,27.27,25.70,R
,512681,65,0,1872,0.112,0.144,1.000,23.55,23.83,25.02,R
,512691,64,0,1881,0.118,0.146,1.016,21.84,21.40,24.53,R
,512701,67,0,1939,0.123,0.144,1.008,21.21,20.76,24.10,R
,512711,53,0,1829,0.119,0.141,0.996,19.95,20.89,23.73,R
,512721,65,0,1854,0.119,0.142,1.017,19.62,22.31,24.60,R
,512731,65,0,1826,0.117,0.136,1.013,20.92,23.59,25.81,R
,512741,64,0,1886,0.119,0.142,1.004,22.85,26.47,26.80,R
,512751,65,0,1827,0.108,0.145,1.003,23.81,29.34,27.90,R
,512761,66,0,1882,0.104,0.146,1.003,24.22,30.06,29.11,R
,512771,64,0,1865,0.120,0.177,1.005,27.21,31.16,30.11,R
,512781,66,0,1890,0.112,0.155,1.014,25.36,29.85,28.89,R
,512791,68,0,2004,0.107,0.158,0.997,23.61,29.21,28.37,R
,512801,67,0,1802,0.110,0.157,0.998,22.91,29.68,27.03,R
,512811,64,0,1861,0.111,0.159,0.998,23.04,29.10,26.24,R
,512821,66,0,1893,0.112,0.155,1.001,22.39,27.76,25.29,R
,512831,66,0,1902,0.115,0.151,0.992,19.75,25.36,24.53,R
,512841,65,0,1873,0.110,0.146,0.996,16.83,25.34,25.17,R
,512851,64,0,2023,0.104,0.141,1.000,15.84,26.23,25.55,R
,512861,66,0,1803,0.107,0.133,1.012,16.63,27.98,26.68,R
,512871,64,0,1806,0.108,0.124,1.021,18.28,29.11,27.70,R
,512881,65,0,1839,0.111,0.124,1.034,20.31,29.13,27.89,R
,512891,66,0,1709,0.112,0.127,1.027,22.19,29.15,28.25,R
,512901,66,0,1802,0.108,0.126,1.020,23.99,29.39,28.07,R
,512911,65,0,1781,0.100,0.129,1.025,25.43,29.89,28.30,R
,512921,64,0,1779,0.104,0.138,1.017,26.74,29.15,27.67,R
,512931,66,0,1755,0.108,0.141,1.019,26.07,28.12,27.14,R
,512941,64,0,1785,0.104,0.143,1.011,24.49,26.61,25.85,R
,512951,64,0,1849,0.102,0.142,1.008,21.64,26.24,25.52,R
,512961,63,0,1767,0.094,0.141,1.009,19.56,27.79,25.58,R
,512971,65,0,1819,0.088,0.139,1.021,19.09,28.84,26.01,R
,512981,65,0,1840,0.093,0.136,1.016,19.82,28.21,26.88,R
,512991,66,0,1817,0.095,0.137,1.014,20.45,27.60,27.20,R
,513001,66,0,1911,0.107,0.139,1.024,21.58,27.22,26.92,R
,513011,66,0,1948,0.104,0.139,1.018,23.75,27.04,26.27,R
,513021,65,0,1824,0.104,0.130,1.006,24.14,27.45,26.02,R
,513031,66,0,1840,0.098,0.134,1.008,23.47,26.99,26.30,R
,513041,65,0,1826,0.096,0.129,1.020,23.98,25.92,26.25,R
,513051,66,0,1938,0.094,0.134,1.016,24.24,24.70,26.31,R
,513061,64,0,1851,0.095,0.130,1.009,24.49,23.60,26.04,R
,513071,68,0,1808,0.094,0.128,1.009,23.84,23.13,25.99,R
,513081,67,0,1866,0.101,0.134,1.013,23.61,23.10,26.15,R
,513091,67,0,1943,0.091,0.139,1.014,23.78,24.23,26.65,R
,513101,64,0,1840,0.090,0.139,1.020,24.66,25.94,27.05,R
,513111,64,0,1887,0.092,0.137,1.013,24.77,26.75,27.08,R
,513121,64,0,1859,0.091,0.133,1.019,24.94,26.53,27.00,R
,513131,65,0,1821,0.094,0.132,1.012,24.43,25.69,26.02,R
,513141,66,0,1851,0.092,0.129,1.006,22.86,24.69,25.40,R
,513151,67,0,1865,0.089,0.135,1.010,21.32,24.08,25.49,R
,513161,65,0,1844,0.085,0.136,1.020,20.48,24.24,26.18,R
,513171,67,0,1894,0.089,0.140,1.023,20.94,26.12,27.56,R
,513181,65,0,1865,0.089,0.144,1.010,21.43,28.17,29.03,R
,513191,65,0,1861,0.085,0.142,1.011,22.77,29.68,30.13,R
,513201,65,0,1869,0.098,0.147,1.049,26.72,28.75,29.40,R
,513211,68,0,1827,0.090,0.148,1.015,24.43,29.39,29.49,R
,513221,65,0,1906,0.087,0.152,1.009,24.92,28.35,28.50,R
,513231,65,0,1906,0.080,0.156,1.022,24.74,27.71,27.99,R
,513241,66,0,1946,0.079,0.142,1.009,23.95,27.13,27.70,R
,513251,65,0,1839,0.075,0.149,1.012,22.46,26.82,27.66,R
,513261,66,0,1769,0.076,0.144,1.013,21.07,25.97,27.63,R
,513271,64,0,1655,0.083,0.135,1.014,20.17,24.82,27.63,R
,513281,65,0,1517,0.081,0.132,1.021,20.01,25.10,28.10,R
,513291,67,0,1571,0.086,0.128,1.024,21.38,24.82,28.92,R
,513301,66,0,1722,0.097,0.129,1.017,23.32,25.63,29.11,R
,513311,67,0,1658,0.102,0.122,1.017,24.28,26.31,28.62,R
,513321,65,0,1771,0.103,0.120,1.019,24.04,27.04,28.54,R
,513331,64,0,1728,0.096,0.119,1.002,23.44,27.56,28.39,R
,513341,67,0,1765,0.094,0.119,1.018,22.94,27.33,28.76,R
,513351,67,0,1845,0.090,0.115,1.010,22.85,27.34,28.18,R
,513361,64,0,1798,0.096,0.110,1.016,21.81,26.67,27.73,R
,513371,67,0,1746,0.089,0.108,1.021,20.82,24.95,26.57,R
,513381,67,0,1819,0.081,0.107,1.016,20.45,23.85,25.38,R
,513391,65,0,1809,0.077,0.105,1.027,20.65,23.16,25.29,R
,513401,65,0,1839,0.074,0.104,1.036,21.53,23.74,25.17,R
,513411,65,0,1840,0.076,0.103,1.039,22.91,24.00,25.47,R
,513421,65,0,1966,0.080,0.104,1.039,23.75,24.41,25.00,R
,513431,64,0,1795,0.080,0.104,1.044,24.02,23.92,24.48,R
,513441,64,0,1883,0.082,0.101,1.036,23.47,23.08,23.26,R
,513451,67,0,1838,0.077,0.103,1.049,22.98,22.14,22.54,R
,513461,67,0,1921,0.079,0.109,1.042,23.81,21.27,22.24,R
,513471,67,0,1871,0.079,0.118,1.048,23.24,21.24,22.80,R
,513481,70,0,1889,0.085,0.125,1.037,23.59,21.31,23.75,R
,513491,69,0,1863,0.086,0.131,1.034,24.17,22.27,24.89,R
,513501,66,0,1923,0.080,0.151,1.060,22.71,24.63,26.65,R
,513511,72,0,1908,0.093,0.141,1.031,27.18,23.69,27.31,R
,513521,67,0,1918,0.093,0.137,1.027,27.79,22.73,27.11,R
,513531,66,0,1868,0.092,0.139,1.028,29.30,20.72,26.15,R
,513541,68,0,1929,0.084,0.134,1.031,30.02,18.34,24.89,R
,513551,64,0,1877,0.079,0.136,1.041,30.72,15.45,24.11,R
,513561,66,0,1898,0.074,0.136,1.024,30.11,12.95,24.21,R
,513571,65,0,1830,0.072,0.140,1.030,29.82,10.55,24.88,R
,513581,64,0,1863,0.077,0.138,1.026,29.84,9.80,25.18,R
,513591,65,0,1840,0.090,0.139,1.015,29.44,10.34,25.73,R
,513601,67,0,1817,0.092,0.139,1.018,29.99,13.04,26.62,R
,513611,70,0,1809,0.094,0.142,1.011,31.52,15.28,27.35,R
,513621,66,0,1821,0.100,0.143,1.008,32.54,16.92,27.78,R
,513631,67,0,1875,0.108,0.144,0.997,33.23,18.24,27.95,R
,513641,64,0,1814,0.112,0.154,1.002,33.09,18.85,27.66,R
,513651,65,0,1840,0.117,0.152,0.985,31.93,18.55,26.91,R
,513661,65,0,1779,0.107,0.160,0.984,30.04,18.21,26.79,R
,513671,64,0,1840,0.104,0.162,0.999,28.30,16.46,26.69,R
,513681,64,0,1997,0.109,0.164,0.992,26.51,14.63,26.83,R
,513691,64,0,1781,0.110,0.156,1.000,24.40,13.59,27.26,R
,513701,65,0,1810,0.113,0.153,1.002,24.56,14.20,28.63,R
,513711,65,0,1828,0.112,0.151,1.007,26.07,15.08,29.55,R
,513721,65,0,1775,0.112,0.157,1.011,28.69,16.12,30.13,R
,513731,67,0,1760,0.118,0.155,1.008,31.44,16.47,30.66,R
,513741,67,0,1805,0.131,0.150,0.998,32.51,16.49,30.24,R
,513751,65,0,1774,0.127,0.147,0.998,31.95,16.11,29.61,R
,513761,65,0,1811,0.118,0.149,1.011,31.49,14.85,28.42,R
,513771,66,0,1808,0.132,0.149,1.000,32.24,13.79,27.89,R
,513781,66,0,1789,0.130,0.156,0.991,30.62,12.55,27.38,R
,513791,68,0,1832,0.136,0.159,0.984,29.95,11.95,27.24,R
,513801,64,0,1739,0.141,0.156,0.979,28.85,11.42,26.94,R
,513811,67,0,1774,0.150,0.153,0.972,29.11,12.17,27.18,R
,513821,67,0,1840,0.157,0.153,0.976,30.78,13.97,26.48,R
,513831,66,0,1714,0.156,0.149,0.958,31.17,14.55,26.02,R
,513841,64,0,1733,0.159,0.157,0.959,32.34,16.24,25.66,R
,513851,66,0,1829,0.154,0.156,0.956,33.62,17.34,24.57,R
,513861,65,0,1915,0.151,0.162,0.955,35.12,18.55,23.52,R
,513871,64,0,1807,0.152,0.170,0.946,35.49,17.45,22.71,R
,513881,65,0,1862,0.164,0.177,0.944,34.95,16.17,21.00,R
,513891,67,0,1859,0.165,0.172,0.947,34.27,12.53,18.25,R
,513901,68,0,1909,0.172,0.168,0.951,35.84,7.50,15.03,R
,513911,70,0,1856,0.177,0.179,0.965,40.10,4.38,11.29,R
,513921,66,0,1801,0.177,0.202,0.962,53.33,5.40,8.86,R
,513931,65,0,1705,0.179,0.214,0.956,65.50,6.38,5.56,R
,513941,65,0,1261,0.179,0.238,0.934,76.85,5.85,3.26,R
,513951,67,0,1060,0.177,0.261,0.913,84.22,4.93,1.32,R
,513961,66,0,1086,0.144,0.291,0.918,91.67,4.95,-0.98,R
,513971,69,0,819,0.102,0.280,0.896,90.42,6.15,0.30,R
,513981,66,0,946,0.070,0.322,0.915,98.95,19.60,5.52,R
,513991,66,0,954,0.045,0.313,0.960,109.23,32.40,13.00,R
,514001,64,0,879,0.052,0.317,0.956,120.43,39.74,20.68,R
,514011,66,0,1229,0.083,0.334,0.971,129.67,49.40,26.22,R
,514021,66,0,1361,0.102,0.337,0.990,134.20,55.77,29.20,R
,514031,64,0,1445,0.124,0.363,0.985,141.12,56.37,28.65,R
,514041,66,0,1721,0.152,0.374,0.972,142.46,52.96,27.44,R
,514051,65,0,1774,0.152,0.400,0.949,137.69,47.05,25.12,R
,514061,68,0,2105,0.143,0.404,0.931,126.49,43.40,23.34,R
,514071,68,0,2032,0.132,0.412,0.943,106.60,37.71,24.59,R
,514081,64,0,1936,0.103,0.411,0.948,95.24,34.32,26.21,R
,514091,65,0,1901,0.107,0.422,0.987,87.06,34.82,29.69,R
,514101,70,0,2064,0.102,0.411,1.000,84.49,38.37,33.12,R
,514111,79,0,2109,0.089,0.469,1.117,88.40,59.30,23.87,R
,514121,77,0,2486,0.118,0.412,0.953,58.75,36.82,33.38,R
,514131,75,0,2592,0.184,0.405,1.132,67.40,55.07,20.24,R
,514141,94,0,2160,0.049,0.368,1.102,47.46,17.36,23.31,R
,514151,98,0,2273,0.015,0.354,1.071,44.07,9.13,10.89,R
,514161,94,0,2420,-0.011,0.280,1.022,49.15,-10.15,9.35,R
,514171,98,0,2193,0.068,0.250,1.126,52.65,-1.13,2.92,R
,514181,100,0,2319,0.061,0.303,1.090,47.03,-9.98,6.76,R
,514191,95,0,2057,0.083,0.311,1.051,47.95,-19.31,6.71,R
,514201,85,0,2272,0.134,0.335,1.062,59.01,-21.47,7.44,R
,514211,80,0,1837,0.126,0.408,1.123,75.15,-15.89,8.10,R
,514221,76,0,1268,0.187,0.446,0.992,83.36,-12.02,11.76,R
,514231,75,0,831,0.189,0.458,0.962,89.32,0.44,13.56,R
,514241,80,0,0,0.216,0.481,0.931,91.53,11.88,14.08,R
,514251,80,0,0,0.205,0.496,0.935,92.19,18.70,16.24,R
,514261,80,0,0,0.163,0.545,0.949,94.24,26.52,16.80,R
,514271,78,0,0,0.162,0.552,0.964,92.75,27.21,17.32,R
,514281,77,0,0,0.119,0.583,0.970,92.27,28.11,16.56,R
,514291,80,0,0,0.099,0.591,0.975,90.01,23.40,16.91,R
,514301,80,0,0,0.093,0.618,0.998,87.56,16.37,16.86,R
,514311,79,0,0,0.089,0.612,1.006,84.04,6.17,16.16,R
,514321,77,0,0,0.111,0.588,0.997,79.43,-6.85,14.92,R
,514331,78,0,0,0.142,0.574,0.997,75.49,-15.80,12.62,R
,514341,70,0,0,0.178,0.574,0.983,70.04,-21.19,11.06,R
,514351,70,0,257,0.191,0.534,0.971,65.88,-21.51,9.79,R
,514361,71,0,630,0.174,0.519,0.944,66.40,-21.40,10.94,R
,514371,69,0,773,0.170,0.502,0.918,68.39,-21.10,13.64,R
,514381,69,0,1214,0.191,0.504,0.880,64.46,-25.85,12.76,R
,514391,70,0,1490,0.197,0.507,0.868,59.70,-26.41,10.18,R
,514401,66,0,1662,0.194,0.497,0.857,61.06,-29.77,7.14,R
,514411,71,0,2037,0.214,0.487,0.829,65.61,-34.26,4.42,R
,514421,71,0,1957,0.253,0.494,0.810,63.36,-38.56,-0.40,R
,514431,69,0,2956,0.277,0.491,0.773,61.46,-43.04,-5.12,R
,514441,70,0,4095,0.302,0.488,0.735,59.01,-44.99,-9.61,R
,514451,70,0,4095,0.313,0.489,0.715,53.35,-47.56,-14.19,R
,514461,69,0,4095,0.334,0.490,0.698,49.30,-47.18,-18.83,R
,514471,71,0,4095,0.317,0.491,0.667,47.85,-42.26,-24.27,R
,514481,74,0,4095,0.295,0.483,0.666,49.20,-39.18,-29.24,R
,514491,74,0,4095,0.302,0.468,0.642,48.83,-38.41,-32.10,R
,514501,70,0,4095,0.287,0.465,0.619,52.60,-37.33,-35.18,R
,514511,69,0,4095,0.305,0.464,0.579,56.75,-36.47,-38.48,R
,514521,74,0,4095,0.307,0.514,0.569,56.04,-35.94,-43.82,R
,514531,70,0,4095,0.282,0.534,0.553,50.11,-36.18,-47.79,R
,514541,70,0,4095,0.259,0.532,0.531,43.24,-36.98,-51.75,R
,514551,73,0,4095,0.252,0.603,0.526,39.69,-38.03,-55.26,R
,514561,76,0,4095,0.204,0.612,0.543,43.33,-34.60,-56.62,R
,514571,78,0,4095,0.221,0.681,0.516,41.00,-32.35,-59.87,R
,514581,75,0,4095,0.200,0.697,0.476,43.38,-23.42,-60.39,R
,514591,80,0,4095,0.169,0.725,0.433,45.12,-11.68,-60.66,R
,514601,78,0,4095,0.122,0.780,0.506,58.66,5.19,-61.99,R
,514611,74,0,4095,0.120,0.819,0.466,62.98,17.01,-59.93,R
,514621,80,0,4095,0.080,0.851,0.450,69.35,29.51,-55.73,R
,514631,79,0,4095,0.079,0.879,0.430,70.05,36.52,-52.54,R
,514641,79,0,4095,0.032,0.895,0.416,69.00,41.13,-50.24,R
,514651,78,0,3834,0.036,0.894,0.338,78.78,38.87,-42.33,R
,514661,79,0,3905,0.030,0.986,0.458,72.16,40.60,-38.19,R
,514671,77,0,4095,-0.021,0.868,0.338,39.61,25.30,-43.84,R
,514681,80,0,4095,-0.001,0.902,0.320,50.49,21.71,-33.72,R
,514691,77,0,3571,-0.001,0.933,0.336,50.24,19.40,-25.98,R
,514701,80,0,3158,0.004,0.897,0.319,48.62,33.22,-25.21,R
,514711,80,0,3147,0.032,0.946,0.430,25.06,34.35,-29.32,R
,514721,79,0,2631,0.026,0.953,0.427,11.09,36.63,-30.27,R
,514731,80,0,2295,0.004,0.934,0.427,6.40,41.10,-28.30,R
,514741,75,0,1947,-0.012,0.943,0.468,10.36,49.33,-23.78,R
,514751,80,0,1795,-0.014,0.944,0.480,13.00,56.66,-19.20,R
,514761,77,0,1552,-0.034,0.955,0.506,16.94,61.60,-15.84,R
,514771,78,0,1515,-0.057,0.967,0.512,20.46,66.15,-11.98,R
,514781,78,0,1750,-0.043,0.973,0.515,17.95,68.17,-9.55,R
,514791,79,0,1743,-0.049,0.956,0.516,12.95,70.17,-7.85,R
,514801,77,0,1676,-0.022,0.925,0.526,3.49,67.40,-6.04,R
,514811,79,0,1691,-0.046,0.917,0.526,7.01,70.90,-3.15,R
,514821,65,0,1627,-0.051,0.907,0.545,5.41,69.51,0.95,R
,514831,79,0,1808,-0.023,0.879,0.538,0.83,71.62,1.73,R
,514841,78,0,1885,-0.025,0.908,0.549,-3.02,71.50,-0.57,R
,514851,79,0,2098,-0.025,0.859,0.559,-7.64,69.04,0.24,R
,514861,77,0,2531,-0.046,0.851,0.576,-4.47,69.68,-2.45,R
,514871,79,0,3342,-0.043,0.829,0.588,-3.28,67.22,-5.96,R
,514881,80,0,4095,-0.063,0.818,0.612,-4.68,63.47,-9.24,R
,514891,77,0,4095,-0.106,0.808,0.637,-7.29,60.50,-12.36,R
,514901,77,0,4095,-0.127,0.783,0.644,-10.24,59.59,-13.56,R
,514911,75,0,3632,-0.144,0.767,0.657,-11.86,58.90,-12.21,R
,514921,80,0,2293,-0.155,0.741,0.702,-12.05,58.92,-8.77,R
,514931,78,0,1735,-0.171,0.765,0.712,-10.39,58.35,-6.37,R
,514941,80,0,1205,-0.172,0.746,0.713,-4.74,60.32,-3.78,R
,514951,80,0,1008,-0.149,0.762,0.716,0.01,61.24,-3.44,R
,514961,80,0,1195,-0.132,0.765,0.711,5.04,60.78,-4.07,R
,514971,77,0,2038,-0.131,0.765,0.719,6.25,60.11,-6.21,R
,514981,78,0,1866,-0.119,0.764,0.717,7.96,60.40,-8.71,R
,514991,79,0,2256,-0.114,0.756,0.706,9.32,57.76,-9.78,R
,515001,79,0,3756,-0.093,0.757,0.718,9.03,54.85,-11.58,R
,515011,78,0,4095,-0.113,0.749,0.706,9.29,53.79,-12.65,R
,515021,80,0,4095,-0.103,0.754,0.722,9.95,53.13,-12.36,R
,515031,80,0,4095,-0.117,0.754,0.737,9.47,53.16,-12.24,R
,515041,80,0,4095,-0.129,0.728,0.727,8.78,51.11,-12.83,R
,515051,77,0,4095,-0.153,0.704,0.724,6.45,47.54,-11.93,R
,515061,80,0,4095,-0.155,0.707,0.729,4.88,43.92,-10.11,R
,515071,79,0,4095,-0.130,0.687,0.721,4.88,42.75,-8.37,R
,515081,78,0,4095,-0.144,0.709,0.721,13.81,46.23,-7.93,R
,515091,78,0,4095,-0.134,0.696,0.702,20.51,45.24,-9.35,R
,515101,64,0,4095,-0.119,0.693,0.687,22.63,43.40,-14.53,R
,515111,66,0,4095,-0.118,0.690,0.672,23.85,40.79,-19.72,R
,515121,77,0,4095,-0.148,0.726,0.680,26.27,44.26,-23.12,R
,515131,78,0,4095,-0.167,0.722,0.653,28.31,45.92,-23.37,R
,515141,76,0,4095,-0.219,0.753,0.666,25.40,46.84,-21.35,R
,515151,79,0,4095,-0.257,0.741,0.684,20.13,46.21,-17.32,R
,515161,78,0,4095,-0.303,0.756,0.693,16.14,46.76,-11.81,R
,515171,76,0,4095,-0.365,0.781,0.729,18.59,52.47,-3.92,R
,515181,76,0,4095,-0.397,0.804,0.737,19.04,53.56,0.27,R
,515191,78,0,4095,-0.399,0.807,0.745,15.72,51.04,3.63,R
,515201,77,0,4095,-0.406,0.788,0.734,13.44,44.49,5.24,R
,515211,79,0,4095,-0.404,0.795,0.793,12.66,41.57,4.07,R
,515221,75,0,4095,-0.395,0.803,0.791,10.28,30.47,1.76,R
